Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
MMM,Common Stock,3M Company,"3M Company is a prominent American multinational conglomerate renowned for its innovation across a diverse array of sectors, including industrial, safety, healthcare, and consumer goods. With a comprehensive portfolio of over 60,000 products, 3M has solidified its market presence through its leading brands in adhesives, abrasives, medical supplies, and personal protective equipment. Headquartered in Maplewood, Minnesota, the company is committed to advancing technology and sustainability, positioning itself to adapt to the evolving needs of consumers and industries while driving long-term growth and shareholder value.",66740,NYSE,USD,USA,INDUSTRIALS,CONGLOMERATES,"3M CENTER, SAINT PAUL, MN, UNITED STATES, 55144-1000",https://www.3m.com,December,2025-09-30,90637615000,6161000000,27.25,3.411,8.71,2.89,0.017,6.15,45.99,0.137,0.244,0.0797,0.729,24825000000,10173000000,6.15,-0.375,0.035,174.94,2,9,4,0,2,27.25,19.76,3.651,19.58,3.972,15.43,1.152,172.11,120.31,159.29,150.94,531225000,530439000,0.103,74.138,2025-12-12,2025-11-14
AOS,Common Stock,Smith AO Corporation,"A. O. Smith Corporation is a premier American manufacturer renowned for its expertise in residential and commercial water heating solutions, positioning itself as the largest producer and marketer of water heaters in North America. The company has successfully diversified its product line to include water treatment systems, with a notable emphasis on expanding operations in the expanding Asian market. With a steadfast commitment to innovation and high-quality standards, A. O. Smith is well-equipped to navigate the dynamic landscape of water solutions, presenting a compelling investment opportunity for institutional investors seeking long-term, sustainable growth.",91142,NYSE,USD,USA,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,"11270 WEST PARK PLACE, MILWAUKEE, WI, UNITED STATES, 53224",https://www.aosmith.com,December,2025-09-30,9202227000,784300000,17.83,1.583,13.25,1.36,0.0206,3.63,26.88,0.139,0.186,0.139,0.282,3830100000,1475100000,3.63,0.146,0.044,78.5,0,4,9,1,0,17.83,15.82,2.403,4.989,2.415,11.63,1.336,76.52,57.94,69.87,68.04,113372000,112202000,0.779,100.709,2025-11-17,2025-10-31
ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories (ABT) is a prominent American multinational healthcare company based in Abbott Park, Illinois, with expertise across a diverse range of sectors, including medical devices, diagnostics, nutritional products, and branded generic medicines. Established in 1888, Abbott has demonstrated a strong commitment to innovation, enhancing health outcomes through cutting-edge technology and comprehensive healthcare solutions. The company's strategic decision to spin off its research-based pharmaceutical operations into AbbVie in 2013 has allowed it to focus on its core offerings while maintaining a legacy of excellence in healthcare. With a robust global presence, Abbott is well-positioned to capitalize on emerging market opportunities and address evolving healthcare needs.",1800,NYSE,USD,USA,HEALTHCARE,MEDICAL DEVICES,"100 ABBOTT PARK ROAD, NORTH CHICAGO, IL, UNITED STATES, 60064-6400",https://www.abbott.com,December,2025-09-30,227079274000,11747000000,16.24,4.168,29.3,2.36,0.0183,8.04,25.19,0.319,0.194,0.0679,0.306,43842998000,24665999000,8.04,0,0.069,144.47,6,15,8,0,0,16.24,22.78,5.18,4.411,5.25,19.53,0.719,139.33,109.21,130.38,131.11,1738872000,1728630000,0.542,80.047,2025-11-17,2025-10-15
ABBV,Common Stock,AbbVie Inc,"AbbVie Inc is a leading American biopharmaceutical company, established in 2013 from a spin-off of Abbott Laboratories. The company specializes in the research, development, and commercialization of advanced therapies in immunology, oncology, virology, and neuroscience. With a robust pipeline of innovative treatments, AbbVie is committed to addressing some of the world's most challenging health issues and is recognized for its blockbuster immunology drug, Humira. AbbVie continues to strengthen its portfolio through strategic acquisitions and collaborations, positioning itself as a formidable player in the global biopharmaceutical landscape.",1551152,NYSE,USD,USA,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, UNITED STATES, 60064-6400",https://www.abbvie.com,December,2025-09-30,410669482000,29519000000,176.03,0.417,-1.495,6.56,0.0282,1.32,33.72,0.04,0.355,0.0959,1.38,59643998000,42622001000,1.32,-0.887,0.091,243.55,5,13,9,0,1,176.03,16.58,6.89,50.46,7.94,37.02,0.352,243.06,158.28,224.42,201.74,1767385000,1763761000,0.104,74.289,2026-02-17,2026-01-16
ACN,Common Stock,Accenture plc,"Accenture plc is a premier global professional services company, headquartered in Dublin, specializing in consulting, digital transformation, technology, and operations. With a strong focus on innovation and efficiency, Accenture collaborates with clients across diverse industries to deliver transformative solutions that drive business performance and sustainable growth. The firm’s deep industry expertise and commitment to leveraging advanced technologies solidify its position as a leader in the dynamic digital landscape, making it an indispensable partner for organizations seeking to thrive in an increasingly competitive environment.",1467373,NYSE,USD,USA,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"1 GRAND CANAL SQUARE, DUBLIN, IRELAND, D02 P820",https://www.accenture.com,August,2025-08-31,153527779000,12222532000,20.37,1.923,50.16,6.07,0.0245,12.04,111.5,0.11,0.152,0.112,0.255,69672976000,22235400000,12.04,-0.155,0.073,277.6,2,12,11,1,0,20.37,17.89,2.204,4.921,2.156,12.66,1.262,391.86,227.92,244.8,291.01,620139000,619023000,0.074,82.729,2025-11-14,2025-10-10
ADBE,Common Stock,Adobe Systems Incorporated,"Adobe Inc. is a premier American multinational software company based in San Jose, California, recognized for its innovative leadership in digital media and marketing solutions. With flagship products like Adobe Photoshop, Illustrator, and Acrobat, it has become an essential partner for creative professionals across diverse industries. The company has further expanded its portfolio through Adobe Experience Cloud, a comprehensive suite that enhances customer engagement and marketing strategies for businesses. By harnessing the power of artificial intelligence and cloud technologies, Adobe is well-positioned to sustain its competitive advantage and address the evolving demands of the digital landscape, boasting a vast global user base.",796343,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - APPLICATION,"345 PARK AVENUE, SAN JOSE, CA, UNITED STATES, 95110-2704",https://www.adobe.com,November,2025-08-31,139644961000,9060000000,20.79,0.952,28.02,None,None,15.93,53.63,0.3,0.363,0.181,0.529,23181001000,20662999000,15.93,0.112,0.107,452.75,5,20,12,3,0,20.79,14.29,6.02,11.86,6.05,14.68,1.536,557.9,323.03,346.61,378.43,418600000,417361000,0.212,86.475,None,2005-03-24
AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is a prominent American semiconductor company based in Santa Clara, California, renowned for its innovative microprocessors, graphics processors, and motherboard chipsets. Catering to diverse markets, including data centers, enterprise solutions, and consumer electronics, AMD's commitment to high-performance computing has positioned it as a significant force in the rapidly evolving semiconductor industry. The company's strategic focus on advancing technology to meet the dynamic needs of both businesses and consumers underscores its potential for continued growth and leadership in the sector.",2488,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, UNITED STATES, 95054",https://www.amd.com,December,2025-09-30,403689177000,6054000000,129.9,0.55,37.34,None,None,1.9,19.73,0.103,0.137,0.026,0.0532,32027001000,16480000000,1.9,0.603,0.356,276.76,5,33,14,0,0,129.9,40.16,12.6,6.64,12.5,64.67,1.913,267.08,76.48,208.05,145.79,1628042000,1617378000,0.453,68.864,None,1995-04-27
AES,Common Stock,The AES Corporation,"The AES Corporation is a Fortune 500 leader in the global power sector, specializing in the generation and distribution of electricity through a diverse portfolio that includes both renewable and traditional energy sources. Based in Arlington, Virginia, AES is committed to sustainability and innovation, aiming to enhance energy access while minimizing environmental impact. As the energy landscape evolves, AES is well-positioned to take advantage of emerging opportunities, making it a compelling investment choice for institutional investors seeking exposure to a transformative industry.",874761,NYSE,USD,USA,UTILITIES,UTILITIES - DIVERSIFIED,"4300 WILSON BOULEVARD, ARLINGTON, VA, UNITED STATES, 22203",https://www.aes.com,December,2025-09-30,9841511000,3206000000,8.97,1.092,5.43,0.704,0.0515,1.54,16.99,0.0874,0.205,0.0227,0.0511,12094000000,2088000000,1.54,0.253,0.019,15.21,3,4,4,2,1,8.97,5.92,0.814,2.519,3.21,11.8,1.003,15.32,9.16,13.84,12.17,712121000,708105000,0.464,90.398,2025-11-14,2025-10-31
AFL,Common Stock,Aflac Incorporated,"Aflac Incorporated (ticker: AFL) is a premier provider of supplemental insurance in the United States, recognized for its comprehensive range of products aimed at alleviating the financial impact of unanticipated medical expenses. Boasting a significant market position in both the U.S. and Japan, Aflac excels in areas such as cancer and accident insurance, leveraging its strong brand reputation and customer loyalty. The company showcases robust financial health, evident in its ongoing revenue growth and sound balance sheet, reinforcing its ability to drive shareholder value while adapting to the dynamic healthcare environment.",4977,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE - LIFE,"1932 WYNNTON ROAD, COLUMBUS, GA, UNITED STATES, 31999",https://www.aflac.com,December,2025-09-30,59927183000,5358000000,15.03,0.93,54.57,2.24,0.0195,7.61,32.72,0.235,0.433,0.0265,0.156,17700999000,8527000000,7.61,-0.642,0.607,111,2,1,8,1,1,15.03,15.27,3.385,2.101,3.765,-,0.66,115.83,96.14,109.59,106.22,524114000,519470000,10.749,59.008,2025-12-01,2025-11-19
A,Common Stock,Agilent Technologies Inc,"Agilent Technologies, Inc. is a leading American firm based in Santa Clara, California, that specializes in analytical instrumentation and life sciences solutions. The company is recognized for its innovative offerings that serve critical sectors such as scientific research, diagnostics, and quality control, establishing itself as an essential player in the global analytical market. Agilent's comprehensive portfolio, which includes state-of-the-art instruments and software, supports advancements in life sciences and applied chemistry. With a robust focus on innovation and a customer-first approach, Agilent is well-positioned to address the dynamic needs of its clients, making it an attractive investment prospect for institutional investors seeking growth in the evolving landscape of scientific innovation.",1090872,NYSE,USD,USA,HEALTHCARE,DIAGNOSTICS & RESEARCH,"5301 STEVENS CREEK BOULEVARD, SANTA CLARA, CA, UNITED STATES, 95051",https://www.agilent.com,October,2025-07-31,41643377000,1838000000,34.38,2.291,22.46,0.98,0.0067,4.27,23.84,0.18,0.232,0.0835,0.199,6788000000,3569000000,4.27,0.216,0.101,152.33,2,8,8,0,0,34.38,24.27,6.13,6.54,6.41,24.22,1.279,152.88,96.03,137.59,123.42,283500000,282554000,0.290,92.769,2025-10-22,2025-09-30
